word,solved,guesses,attempts
clock,1,soare-biont-flock-clock,4
tilde,1,soare-tuile-tilde,3
store,1,soare-cwtch-store,3
prove,1,soare-prent-bivvy-prove,4
bring,1,soare-briny-klong-bring,4
solve,1,soare-solve,2
cheat,1,soare-clean-estop-cheat,4
grime,1,soare-prime-congo-grime,4
exult,1,soare-inlet-cleft-exult,4
usher,1,soare-wiser-ethyl-usher,4
epoch,1,soare-melon-epoch,3
triad,1,soare-rainy-tyler-triad,4
break,1,soare-later-creak-bufty-break,5
rhino,1,soare-crout-vigor-rhino,4
viral,1,soare-rainy-vicar-viral,4
conic,1,soare-bludy-tonic-cnida-conic,5
masse,1,soare-basti-masse,3
sonic,1,soare-gouty-unled-sonic,4
vital,1,soare-canty-tidal-vital,4
trace,1,soare-gitch-trace,3
using,1,soare-mushy-using,3
peach,1,soare-letch-biped-peach,4
champ,1,soare-clink-flump-champ,4
baton,1,soare-aloft-baton,3
brake,1,soare-gitch-dumky-brake,4
pluck,1,soare-linty-clump-pluck,4
craze,1,soare-gitch-avyze-craze,4
gripe,1,soare-prime-gites-gripe,4
weary,1,soare-handy-worts-weary,4
picky,1,soare-linty-podge-picky,4
acute,1,soare-gault-acute,3
ferry,1,soare-certy-bumfs-ferry,4
aside,1,soare-basti-aside,3
tapir,1,soare-rainy-tapir,3
troll,1,soare-crout-filth-troll,4
unify,1,soare-linty-whins-unify,4
rebus,1,soare-wiser-crest-rebus,4
boost,1,soare-buist-boost,3
truss,1,soare-crust-truss,3
siege,1,soare-elint-verge-siege,4
